Product,SKU Number,Distro,Type,Format,Packout,Sample,Flavor,Rename,,,8oz Pack Type,,,,
CANN Grapefruit Rosemary 6pk 8oz,GR-8oz-6,Kiva,Core,8oz,6,,GR,Core 8oz Packs,,,,,,,"Cann 8oz Social Tonic (6 Pack) 36mg - Ginger Lemongrass (36mg, case of 4)"
CANN Grapefruit Rosemary 6pk Sample,GR-8oz-6,Kiva,Core,8oz,6,,GR,Core 8oz Packs,,,,,,,Cann 8oz Social Tonic (6 Pack) 36mg - Lemon Lavender (36mg)
CANN Grapefruit Rosemary Lites 6pk,GR-8oz-6,Kiva,Lites,8oz,6,,GR,Lites,,,,,,,
CANN Grapefruit Rosemary Pack of 6,GR-8oz-6,Kiva,Core,8oz,6,,GR,Core 8oz Packs,,,,,,,
CANN Grapefruit Rosemary Single,GR-8oz-1,Kiva,Core,8oz,1,,GR,Core 8oz Singles,,,,,,,
CANN Grapefruit Rosemary Single 8oz,GR-8oz-1,Kiva,Core,8oz,1,,GR,Core 8oz Singles,,,,,,,
CANN Hi-Boys Blood Orange Cardamom 4pk,BOC-12oz-4,Kiva,Core,12oz,4,,BOC,Core 12oz Packs,,,,,,,
CANN Hi-Boys Blood Orange Cardamom Single,BOC-12oz-1,Kiva,Core,12oz,1,,BOC,Core 12oz Singles,,,,,,,
CANN Hi-Boys Cranberry Sage 4pk,CS-12oz-4,Kiva,Seasonal,12oz,4,,CS,Seasonal 12oz Packs,,,,,,,
CANN Hi-Boys Cranberry Sage Single,CS-12oz-1,Kiva,Seasonal,12oz,1,,CS,Seasonal 12oz Singles,,,,,,,
CANN Hi-Boys Ginger Lemongrass 4pk,LL-12oz-4,Kiva,Seasonal,12oz,4,,LL,Seasonal 12oz Packs,,,,,,,
CANN Hi-Boys Ginger Lemongrass Single,LL-12oz-1,Kiva,Seasonal,12oz,1,,LL,Seasonal 12oz Singles,,,,,,,
CANN Hi-Boys Grapefruit Rosemary 4pk,GR-12oz-4,Kiva,Core,12oz,4,,GR,Core 12oz Packs,,,,,,,
CANN Hi-Boys Grapefruit Rosemary Single,GR-12oz-1,Kiva,Core,12oz,1,,GR,Core 12oz Singles,,,,,,,
CANN Hi-Boys Lemon Lavender 4pk,LL-12oz-4,Kiva,Core,12oz,4,,LL,Core 12oz Packs,,,,,,,
CANN Hi-Boys Lemon Lavender Single,LL-12oz-1,Kiva,Core,12oz,1,,LL,Core 12oz Singles,,,,,,,
CANN Hi-Boys Pineapple Jalapeno 4pk,PJ-12oz-4,Kiva,Seasonal,12oz,4,,PJ,Seasonal 12oz Packs,,,,,,,
CANN Hi-Boys Pineapple Jalapeno Single,PJ-12oz-1,Kiva,Seasonal,12oz,1,,PJ,Seasonal 12oz Singles,,,,,,,
CANN Lemon Lavender 6pk,LL-8oz-6,Kiva,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
CANN Lemon Lavender 6pk 8oz,LL-8oz-6,Kiva,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
CANN Lemon Lavender 6pk Sample,LL-8oz-6,Kiva,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
CANN Lemon Lavender Pack of 6,LL-8oz-6,Kiva,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
CANN Lemon Lavender Single,LL-8oz-1,Kiva,Core,8oz,1,,LL,Core 8oz Singles,,,,,,,
CANN Lemon Lavender Single 8oz,LL-8oz-1,Kiva,Core,8oz,1,,LL,Core 8oz Singles,,,,,,,
CANN Pineapple Jalapeno 4pk,PJ-8oz-4,Kiva,Seasonal,8oz,4,,PJ,Seasonal 8oz Packs,,,,,,,
CANN Pineapple Jalapeno 6pk 8oz,PJ-8oz-6,Kiva,Seasonal,8oz,6,,PJ,Seasonal 8oz Packs,,,,,,,
CANN Roadies Blood Orange Cardamom 8pk,BOC-Sachet-8,Kiva,Core,Sachet,8,,BOC,Roadies,,,,,,,
CANN Roadies Cranberry Sage Singles,CS-Sachet-1,Kiva,Seasonal,Sachet,1,,CS,Roadies,,,,,,,
CANN Roadies Grapefruit Rosemary 8pk,GR-Sachet-8,Kiva,Core,Sachet,8,,GR,Roadies,,,,,,,
CANN Roadies Lemon Lavender 10pk,LL-Sachet-10,Kiva,Core,Sachet,10,,LL,Roadies,,,,,,,
CANN Roadies Lemon Lavender 8pk,LL-Sachet-8,Kiva,Core,Sachet,8,,LL,Roadies,,,,,,,
CANN Roadies Lemon Lavender Singles,LL--1,Kiva,Core,,1,,LL,Roadies,,,,,,,
CANN Supplier Promotional Credit,NA-NA-NA,Kiva,NA,NA,NA,,NA,NA,,,,,,,
CANN Variety 3pk - Sample,Variety-8oz-3,Kiva,Core,8oz,3,,Variety,Core 8oz Packs,,,,,,,
CANN Variety 6pk,Variety-8oz-6,Kiva,Core,8oz,6,,Variety,Core 8oz Packs,,,,,,,
CANN Variety 6pk - Sample,Variety-8oz-6,Kiva,Core,8oz,6,,Variety,Core 8oz Packs,,,,,,,
CANN Yuzu Elderflower 6pk 8oz,YE-8oz-6,Kiva,Reserve,8oz,6,,YE,Reserve,,,,,,,
CANN Yuzu Elderflower Single 8oz,YE-8oz-1,Kiva,Reserve,8oz,1,,YE,Reserve,,,,,,,
Cann Social Tonic Grapefruit Rosemary 2:1 CBD/THC 4-Pack (6ct),GR-8oz-6,HERBL,Core,8oz,6,,GR,Core 8oz Packs,,,,,,,
Cann Social Tonic Lemon Lavender 2:1 CBD/THC 4-Pack (6ct),LL-8oz-6,HERBL,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
Cann Social Tonic Blood Orange Cardamon 2:1 CBD/THC 4-Pack (6ct),BOC-8oz-6,HERBL,Core,8oz,6,,BOC,Core 8oz Packs,,,,,,,
Cann Social Tonic Ginger Lemongrass 2:1 CBD/THC (24ct),GL-8oz-24,HERBL,Seasonal,8oz,24,,GL,Seasonal 8oz Packs,,,,,,,
Cann Roadie Beverage Mix 2:1 CBD/THC 2mg Lemon Lavender 10-Pack (20ct),LL-Sachet-10,HERBL,Core,Sachet,10,,LL,Roadies,,,,,,,
CANN Hi-Boys Passion Peach Mate 4pk AF,PPM-12oz-4,Kiva,Custom,12oz,4,,PPM,Custom,,,,,,,
Cann 8oz Social Tonic (6 Pack) 36mg - Blood Orange Cardamom,BOC-8oz-6,Illinois,Core,8oz,6,,BOC,Core 8oz Packs,,,,,,,
Cann 8oz Social Tonic (6 Pack) 36mg - Grapefruit Rosemary,GR-8oz-6,Illinois,Core,8oz,6,,GR,Core 8oz Packs,,,,,,,
Cann 8oz Social Tonic (6 Pack) 36mg - Lemon Lavender,LL-8oz-6,Illinois,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
Cann 8oz Social Tonic (6 Pack) 36mg - Pineapple Jalapeno,PJ-8oz-6,Illinois,Seasonal,8oz,6,,PJ,Seasonal 8oz Packs,,,,,,,
Cann 12oz Social Tonic (4 Pack) 20mg - Pineapple Jalapeno (hi boy),PJ-12oz-4,Illinois,Seasonal,12oz,4,,PJ,Seasonal 12oz Packs,,,,,,,
Cann 8oz Social Tonic (Single) 6mg - Lemon Lavender,LL-8oz-1,Illinois,Core,8oz,1,,LL,Core 8oz Singles,,,,,,,
Cann 8oz Social Tonic (6 Pack) 36mg - Cranberry Sage,CS-8oz-6,Illinois,Seasonal,8oz,6,,CS,Seasonal 8oz Packs,,,,,,,
Cann 12oz Social Tonic (4 Pack) 20mg - Cranberry Sage (hi boy),CS-12oz-4,Illinois,Seasonal,12oz,4,,CS,Seasonal 12oz Packs,,,,,,,
Cann 12oz Social Tonic (4 Pack) 20mg - Grapefruit Rosemary (hi boy),GR-12oz-4,Illinois,Core,12oz,4,,GR,Core 12oz Packs,,,,,,,
Cann 12oz Social Tonic (4 Pack) 20mg - Lemon Lavender (hi boy),LL-12oz-4,Illinois,Core,12oz,4,,LL,Core 12oz Packs,,,,,,,
Cann 12oz Social Tonic (4 Pack) 20mg - Blood Orange Cardamom (hi boy),BOC-12oz-4,Illinois,Core,12oz,4,,BOC,Core 12oz Packs,,,,,,,
Cann 8oz Social Tonic (6 Pack) 36mg - Yuzu Elderflower,YE-8oz-6,Illinois,Reserve,8oz,6,,YE,Reserve,,,,,,,
   CANN Blood Orange Cardamom 6pk,BOC-8oz-6,Redwood,Core,8oz,6,,BOC,Core 8oz Packs,,,,,,,
   CANN Blood Orange Cardamom 6pk BT PROMO,BOC-8oz-6,Redwood,Core,8oz,6,,BOC,Core 8oz Packs,,,,,,,
   CANN Blood Orange Cardamom 6pk PROMO,BOC-8oz-6,Redwood,Core,8oz,6,,BOC,Core 8oz Packs,,,,,,,
   CANN Blood Orange Cardamom Single PROMO,BOC-8oz-1,Redwood,Core,8oz,1,,BOC,Core 8oz Singles,,,,,,,
   CANN Cranberry Sage 6pk,CS-8oz-6,Redwood,Seasonal,8oz,6,,CS,Seasonal 8oz Packs,,,,,,,
   CANN Cranberry Sage 6pk BT PROMO,CS-8oz-6,Redwood,Seasonal,8oz,6,Sample,CS,Seasonal 8oz Packs,,,,,,,
   CANN Cranberry Sage 6pk PROMO,CS-8oz-6,Redwood,Seasonal,8oz,6,,CS,Seasonal 8oz Packs,,,,,,,
   CANN Cranberry Sage Seasonal 4pk,CS-12oz-4,Redwood,Seasonal,12oz,4,,CS,Seasonal 12oz Packs,,,,,,,
   CANN Cranberry Sage Seasonal 4pk BT PROMO,CS-12oz-4,Redwood,Seasonal,12oz,4,Sample,CS,Seasonal 12oz Packs,,,,,,,
   CANN Cranberry Sage Seasonal 4pk PROMO,CS-12oz-4,Redwood,Seasonal,12oz,4,,CS,Seasonal 12oz Packs,,,,,,,
   CANN Ginger Lemongrass Seasonal 4pk,GL-8oz-4,Redwood,Seasonal,8oz,4,,GL,Seasonal 8oz Packs,,,,,,,
   CANN Ginger Lemongrass Seasonal HI Boy 12oz SINGLE,GLG-12oz-1,Redwood,Seasonal,12oz,1,,GLG,Seasonal 12oz Singles,,,,,,,
   CANN Ginger Lemongrass Seasonal HI Boy 12oz SINGLE PROMO,GLG-12oz-1,Redwood,Seasonal,12oz,1,,GLG,Seasonal 12oz Singles,,,,,,,
   CANN Grapefruit Rosemary 6pk,GR-8oz-6,Redwood,Core,8oz,6,,GR,Core 8oz Packs,,,,,,,
   CANN Grapefruit Rosemary 6pk BT PROMO,GR-8oz-6,Redwood,Core,8oz,6,Sample,GR,Core 8oz Packs,,,,,,,
   CANN Grapefruit Rosemary 6pk PROMO,GR-8oz-6,Redwood,Core,8oz,6,,GR,Core 8oz Packs,,,,,,,
   CANN Grapefruit Rosemary Single PROMO,GR-8oz-1,Redwood,Core,8oz,1,,GR,Core 8oz Singles,,,,,,,
   CANN Lemon Lavender 6pk,LL-8oz-6,Redwood,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
   CANN Lemon Lavender 6pk BT PROMO,LL-8oz-6,Redwood,Core,8oz,6,Sample,LL,Core 8oz Packs,,,,,,,
   CANN Lemon Lavender 6pk PROMO,LL-8oz-6,Redwood,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
   CANN Lemon Lavender Single PROMO,LL-8oz-1,Redwood,Core,8oz,1,,LL,Core 8oz Singles,,,,,,,
   CANN Pineapple Jalapeno 6pk,PJ-8oz-6,Redwood,Seasonal,8oz,6,,PJ,Seasonal 8oz Packs,,,,,,,
   CANN Pineapple Jalapeno 6pk BT PROMO,PJ-8oz-6,Redwood,Seasonal,8oz,6,Sample,PJ,Seasonal 8oz Packs,,,,,,,
   CANN Pineapple Jalapeno 6pk PROMO,PJ-8oz-6,Redwood,Seasonal,8oz,6,,PJ,Seasonal 8oz Packs,,,,,,,
   CANN Pineapple Jalapeno Seasonal 4pk,PJ-12oz-4,Redwood,Seasonal,12oz,4,,PJ,Seasonal 12oz Packs,,,,,,,
   CANN Pineapple Jalapeno Seasonal 4pk BT PROMO,PJ-12oz-4,Redwood,Seasonal,12oz,4,Sample,PJ,Seasonal 12oz Packs,,,,,,,
   CANN Blood Orange Hiboy 4pk,BOC-12oz-4,Redwood,Core,12oz,4,,BOC,Core 12oz Packs,,,,,,,
   CANN Blood Orange Hiboy 4pk PROMO,BOC-12oz-4,Redwood,Core,12oz,4,,BOC,Core 12oz Packs,,,,,,,
   CANN Grapefruit Rosemary Hiboy 4pk,GR-12oz-4,Redwood,Core,12oz,4,,GR,Core 12oz Packs,,,,,,,
   CANN Grapefruit Rosemary Hiboy 4pk PROMO,GR-12oz-4,Redwood,Core,12oz,4,,GR,Core 12oz Packs,,,,,,,
   CANN Lemon Lavender Hiboy 4pk,LL-12oz-4,Redwood,Core,12oz,4,,LL,Core 12oz Packs,,,,,,,
   CANN Lemon Lavender Hiboy 4pk PROMO,LL-12oz-4,Redwood,Core,12oz,4,,LL,Core 12oz Packs,,,,,,,
   CANN Pineapple Jalapeno Hiboy 4pk,PJ-12oz-4,Redwood,Seasonal,12oz,4,,PJ,Seasonal 12oz Packs,,,,,,,
   CANN Pineapple Jalapeno Hiboy 4pk PROMO,PJ-12oz-4,Redwood,Seasonal,12oz,4,,PJ,Seasonal 12oz Packs,,,,,,,
M00001256003: Cann Social Tonic Lemon Lavender 2mg 6pk,LL-8oz-6,Apothca,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
M00001256001: Cann Social Tonic Blood Orange Cardamom 2mg 6pk,BOC-8oz-6,Apothca,Core,8oz,6,,BOC,Core 8oz Packs,,,,,,,
M00001256002: Cann Social Tonic Grapefruit Rosemary 2mg 6pk,GR-8oz-6,Apothca,Core,8oz,6,,GR,Core 8oz Packs,,,,,,,
M00001320402: Cann Social Tonic Blood Orange Cardamom 2mg 6pk SAM,BOC-8oz-6,Apothca,Core,8oz,6,,BOC,Core 8oz Packs,,,,,,,
M00001320403: Cann Social Tonic Grapefruit Rosemary 2mg 6pk SAM,GR-8oz-6,Apothca,Core,8oz,6,,GR,Core 8oz Packs,,,,,,,
M00001320404: Cann Social Tonic Lemon Lavender 2mg 6pk SAM,LL-8oz-6,Apothca,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
M00001325906: Cann Social Tonic Cranberry Sage 2mg 6pk,CS-8oz-6,Apothca,Seasonal,8oz,6,,CS,Seasonal 8oz Packs,,,,,,,
M00001325907: Cann Social Tonic Cranberry Sage HiBoy 5mg 4pk,CS-12oz-4,Apothca,Seasonal,12oz,4,,CS,Seasonal 12oz Packs,,,,,,,
M00001326201: Cann Social Tonic Cranberry Sage 2mg 6pk SAM,CS-8oz-6,Apothca,Seasonal,8oz,6,,CS,Seasonal 8oz Packs,,,,,,,
"Cann 8oz Social Tonic (6 Pack) 36mg - Blood Orange Cardamom (36mg, case of 4)",BOC-8oz-6,Illinois,Core,8oz,6,,BOC,Core 8oz Packs,,,,,,,
Cann 8oz Social Tonic (6 Pack) 36mg - Cranberry Sage (36mg),CS-8oz-6,Illinois,Seasonal,8oz,6,,CS,Seasonal 8oz Packs,,,,,,,
"CANN 8oz  Social Tonic (6 Pack) 36mg - Yuzu Elderflower (36mg, case of 4)",YE-8oz-6,Illinois,Reserve,8oz,6,,YE,Reserve,,,,,,,
"Cann 12oz Social Tonic (4 Pack) 20mg -  Blood Orange Cardamom (hi boy) (20mg, case of 6)",BOC-12oz-4,Illinois,Core,12oz,4,,BOC,Core 12oz Packs,,,,,,,
"Cann 12oz Social Tonic (4 Pack) 20mg - Cranberry Sage (hi boy) (20mg, case of 6)",CS-12oz-4,Illinois,Seasonal,12oz,4,,CS,Seasonal 12oz Packs,,,,,,,
"Cann 12oz Social Tonic (4 Pack) 20mg -  Grapefruit Rosemary (hi boy) (20mg, case of 6)",GR-12oz-4,Illinois,Core,12oz,4,,GR,Core 12oz Packs,,,,,,,
"Cann 12oz Social Tonic (4 Pack) 20mg - Lemon Lavender (hi boy) (20mg, case of 6)",LL-12oz-4,Illinois,Core,12oz,4,,LL,Core 12oz Packs,,,,,,,
"Cann 8oz Social Tonic (6 Pack) 36mg - Grapefruit Rosemary (36mg, case of 4)",GR-8oz-6,Illinois,Core,8oz,6,,GR,Core 8oz Packs,,,,,,,
"Cann 8oz Social Tonic (6 Pack) 36mg - Lemon Lavender (36mg, case of 4)",LL-8oz-6,Illinois,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
"Cann 8oz Social Tonic (6 Pack) 36mg - Cranberry Sage (36mg, case of 4)",CS-8oz-6,Illinois,Seasonal,8oz,6,,CS,Seasonal 8oz Packs,,,,,,,
Cann 8oz Social Tonic (6 Pack) 36mg - Blood Orange Cardamom (36mg),BOC-8oz-6,Illinois,Core,8oz,6,,BOC,Core 8oz Packs,,,,,,,
Cann 12oz Social Tonic (4 Pack) 20mg -  Blood Orange Cardamom (hi boy) (20mg),BOC-12oz-4,Illinois,Core,12oz,4,,BOC,Core 12oz Packs,,,,,,,
CANN 8oz  Social Tonic (6 Pack) 36mg - Yuzu Elderflower (36mg),YE-8oz-6,Illinois,Reserve,8oz,6,,YE,Reserve,,,,,,,
Cann 12oz Social Tonic (4 Pack) 20mg - Cranberry Sage (hi boy) (20mg),CS-12oz-4,Illinois,Seasonal,12oz,4,,CS,Seasonal 12oz Packs,,,,,,,
"Cann 12oz Social Tonic (4 Pack) 20mg - Ginger Lemongrass (hi boy) (20mg, case of 6)",GL-12oz-4,Illinois,Seasonal,12oz,4,,GL,Seasonal 12oz Packs,,,,,,,
"Cann 8oz Social Tonic (6 Pack) 36mg - Ginger Lemongrass (36mg, case of 4)",GL-8oz-6,Illinois,Seasonal,8oz,6,,GL,Seasonal 8oz Packs,,,,,,,
Cann 8oz Social Tonic (6 Pack) 36mg - Lemon Lavender (36mg),LL-8oz-6,Illinois,Core,8oz,6,,LL,Core 8oz Packs,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
