customer,External ID,license number,order_date,orderID,customer_po,start_ship_date,bill_street,bill_street2,bill_city,bill_state,bill_postcode,bill_country,ship_street,ship_street2,ship_city,ship_state,ship_postcode,ship_country,phone,fax,email,contact,rep,cancel_date,ship_method,notes,sku,brand,product_line,Qty (Units),Qty (Cases),product,sale_price,is_sample,customer_external_id,payment_terms,payment_methods,original_sale_price,source,manual,externalOrderID,original_unit_price,status,line_item_total,strain,strain_classification,category,service_zone,unit_price,paid,paid_date,paid_approver,custom_menu_price,production_batch_number,created_by,buyer_paid,delivered_date,sub_category,unit_of_measure,base_units_per_unit,,Delivered?,Month,Quarter,Year,Delivery
Mayflower Medicinals (Med),612,RMD425-R,12-08-2021 19:11,831eb27e,,12-02-2021,89 October Rd,,Boston,MA,2134,United States of America,89 October Rd,,Boston,MA,2134,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00405,Cann Social Tonics,Social Tonics Core 6-Packs,140,35,6-Pack - Lemon Lavender - 8oz.,$0.00 ,FALSE,"""89 October Hill RoadHolliston, MA 01746""",Net 30 (Payment due 30 days after invoice date),Check,,leaflink,TRUE,612,$48.00 ,Complete,"$1,680.00 ",,2:1 CBD,Edibles & Ingestibles,,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Mayflower Medicinals (Med),612,RMD425-R,12-08-2021 19:11,831eb27e,,12-02-2021,89 October Rd,,Boston,MA,2134,United States of America,89 October Rd,,Boston,MA,2134,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00407,Cann Social Tonics,Social Tonics Core 6-Packs,160,40,6-Pack - Grapefruit Rosemary - 8oz.,$0.00 ,FALSE,"""89 October Hill RoadHolliston, MA 01746""",Net 30 (Payment due 30 days after invoice date),Check,,leaflink,TRUE,612,$48.00 ,Complete,"$1,920.00 ",,2:1 CBD,Edibles & Ingestibles,,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Mayflower Medicinals (Med),612,RMD425-R,12-08-2021 19:11,831eb27e,,12-02-2021,89 October Rd,,Boston,MA,2134,United States of America,89 October Rd,,Boston,MA,2134,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00495,Cann Social Tonics,Social Tonics Core 6-Packs,240,60,6-Pack - Cranberry Sage - 8oz.,$0.00 ,FALSE,"""89 October Hill RoadHolliston, MA 01746""",Net 30 (Payment due 30 days after invoice date),Check,,leaflink,TRUE,612,$48.00 ,Complete,"$2,880.00 ",,2:1 CBD,Edibles & Ingestibles,,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Marlborough,622,MR281942,12-10-2021 12:16,d0c09fc4,,12-02-2021,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00406,Cann Social Tonics,Social Tonics Core 6-Packs,20,5,6-Pack - Blood Orange Cardamom - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,622,$48.00 ,Complete,$240.00 ,,2:1 CBD,Edibles & Ingestibles,Central Mass.,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Marlborough,622,MR281942,12-10-2021 12:16,d0c09fc4,,12-02-2021,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00405,Cann Social Tonics,Social Tonics Core 6-Packs,20,5,6-Pack - Lemon Lavender - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,622,$48.00 ,Complete,$240.00 ,,2:1 CBD,Edibles & Ingestibles,Central Mass.,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Marlborough,622,MR281942,12-10-2021 12:16,d0c09fc4,,12-02-2021,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00407,Cann Social Tonics,Social Tonics Core 6-Packs,20,5,6-Pack - Grapefruit Rosemary - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,622,$48.00 ,Complete,$240.00 ,,2:1 CBD,Edibles & Ingestibles,Central Mass.,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Marlborough,622,MR281942,12-10-2021 12:16,d0c09fc4,,12-02-2021,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00495,Cann Social Tonics,Social Tonics Core 6-Packs,15,3.75,6-Pack - Cranberry Sage - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,622,$48.00 ,Complete,$180.00 ,,2:1 CBD,Edibles & Ingestibles,Central Mass.,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Marlborough,622,MR281942,12-10-2021 12:16,d0c09fc4,,12-02-2021,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00406S,Cann Social Tonics,SAM - Internal Products,10,2.5,SAM - Blood Orange Cardamom - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,622,$0.08 ,Complete,$0.10 ,,2:1 CBD,Edibles & Ingestibles,Central Mass.,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Marlborough,622,MR281942,12-10-2021 12:16,d0c09fc4,,12-02-2021,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00407S,Cann Social Tonics,SAM - Internal Products,10,2.5,SAM - Grapefruit Rosemary - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,622,$0.08 ,Complete,$0.10 ,,2:1 CBD,Edibles & Ingestibles,Central Mass.,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Marlborough,622,MR281942,12-10-2021 12:16,d0c09fc4,,12-02-2021,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,416 Boston Post Rd E,,Marlborough,MA,1752,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00405S,Cann Social Tonics,SAM - Internal Products,10,2.5,SAM - Lemon Lavender - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,622,$0.08 ,Complete,$0.10 ,,2:1 CBD,Edibles & Ingestibles,Central Mass.,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Melrose,623,MR282471,12-10-2021 12:28,d4c4a629,,12-02-2021,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00406,Cann Social Tonics,Social Tonics Core 6-Packs,22,5.5,6-Pack - Blood Orange Cardamom - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,623,$48.00 ,Complete,$264.00 ,,2:1 CBD,Edibles & Ingestibles,North Shore,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Melrose,623,MR282471,12-10-2021 12:28,d4c4a629,,12-02-2021,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00407,Cann Social Tonics,Social Tonics Core 6-Packs,22,5.5,6-Pack - Grapefruit Rosemary - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,623,$48.00 ,Complete,$264.00 ,,2:1 CBD,Edibles & Ingestibles,North Shore,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Melrose,623,MR282471,12-10-2021 12:28,d4c4a629,,12-02-2021,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00405,Cann Social Tonics,Social Tonics Core 6-Packs,22,5.5,6-Pack - Lemon Lavender - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,623,$48.00 ,Complete,$264.00 ,,2:1 CBD,Edibles & Ingestibles,North Shore,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Melrose,623,MR282471,12-10-2021 12:28,d4c4a629,,12-02-2021,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00495,Cann Social Tonics,Social Tonics Core 6-Packs,9,2.25,6-Pack - Cranberry Sage - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,623,$48.00 ,Complete,$108.00 ,,2:1 CBD,Edibles & Ingestibles,North Shore,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Melrose,623,MR282471,12-10-2021 12:28,d4c4a629,,12-02-2021,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00406S,Cann Social Tonics,SAM - Internal Products,10,2.5,SAM - Blood Orange Cardamom - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,623,$0.08 ,Complete,$0.10 ,,2:1 CBD,Edibles & Ingestibles,North Shore,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Melrose,623,MR282471,12-10-2021 12:28,d4c4a629,,12-02-2021,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00407S,Cann Social Tonics,SAM - Internal Products,10,2.5,SAM - Grapefruit Rosemary - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,623,$0.08 ,Complete,$0.10 ,,2:1 CBD,Edibles & Ingestibles,North Shore,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Melrose,623,MR282471,12-10-2021 12:28,d4c4a629,,12-02-2021,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,732 Newburyport Turnpike,,Melrose,MA,2176,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00405S,Cann Social Tonics,SAM - Internal Products,10,2.5,SAM - Lemon Lavender - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,623,$0.08 ,Complete,$0.10 ,,2:1 CBD,Edibles & Ingestibles,North Shore,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
The Pass,602,MR281967,12-08-2021 17:13,9862e418,,12-03-2021,1375 Main St,,Sheffield,MA,1257,United States of America,1375 Main St,,Sheffield,MA,1257,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00406,Cann Social Tonics,Social Tonics Core 6-Packs,80,20,6-Pack - Blood Orange Cardamom - 8oz.,$0.00 ,FALSE,"89-93 Ashley Falls Road, Sheffield, MA 01257",Net 30 (Payment due 30 days after invoice date),Check,,leaflink,TRUE,602,$48.00 ,Complete,$960.00 ,,2:1 CBD,Edibles & Ingestibles,Western Mass.,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
The Pass,602,MR281967,12-08-2021 17:13,9862e418,,12-03-2021,1375 Main St,,Sheffield,MA,1257,United States of America,1375 Main St,,Sheffield,MA,1257,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00405,Cann Social Tonics,Social Tonics Core 6-Packs,100,25,6-Pack - Lemon Lavender - 8oz.,$0.00 ,FALSE,"89-93 Ashley Falls Road, Sheffield, MA 01257",Net 30 (Payment due 30 days after invoice date),Check,,leaflink,TRUE,602,$48.00 ,Complete,"$1,200.00 ",,2:1 CBD,Edibles & Ingestibles,Western Mass.,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
The Pass,602,MR281967,12-08-2021 17:13,9862e418,,12-03-2021,1375 Main St,,Sheffield,MA,1257,United States of America,1375 Main St,,Sheffield,MA,1257,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00407,Cann Social Tonics,Social Tonics Core 6-Packs,80,20,6-Pack - Grapefruit Rosemary - 8oz.,$0.00 ,FALSE,"89-93 Ashley Falls Road, Sheffield, MA 01257",Net 30 (Payment due 30 days after invoice date),Check,,leaflink,TRUE,602,$48.00 ,Complete,$960.00 ,,2:1 CBD,Edibles & Ingestibles,Western Mass.,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
The Pass,602,MR281967,12-08-2021 17:13,9862e418,,12-03-2021,1375 Main St,,Sheffield,MA,1257,United States of America,1375 Main St,,Sheffield,MA,1257,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00495,Cann Social Tonics,Social Tonics Core 6-Packs,80,20,6-Pack - Cranberry Sage - 8oz.,$0.00 ,FALSE,"89-93 Ashley Falls Road, Sheffield, MA 01257",Net 30 (Payment due 30 days after invoice date),Check,,leaflink,TRUE,602,$48.00 ,Complete,$960.00 ,,2:1 CBD,Edibles & Ingestibles,Western Mass.,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Newton,624,MR281495,12-10-2021 12:33,d37bfd36,,12-03-2021,697 Washington St,,Newton,MA,2458,United States of America,697 Washington St,,Newton,MA,2458,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00406,Cann Social Tonics,Social Tonics Core 6-Packs,22,5.5,6-Pack - Blood Orange Cardamom - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,624,$48.00 ,Complete,$264.00 ,,2:1 CBD,Edibles & Ingestibles,Boston,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Newton,624,MR281495,12-10-2021 12:33,d37bfd36,,12-03-2021,697 Washington St,,Newton,MA,2458,United States of America,697 Washington St,,Newton,MA,2458,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00407,Cann Social Tonics,Social Tonics Core 6-Packs,22,5.5,6-Pack - Grapefruit Rosemary - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,624,$48.00 ,Complete,$264.00 ,,2:1 CBD,Edibles & Ingestibles,Boston,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Newton,624,MR281495,12-10-2021 12:33,d37bfd36,,12-03-2021,697 Washington St,,Newton,MA,2458,United States of America,697 Washington St,,Newton,MA,2458,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00405,Cann Social Tonics,Social Tonics Core 6-Packs,22,5.5,6-Pack - Lemon Lavender - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,624,$48.00 ,Complete,$264.00 ,,2:1 CBD,Edibles & Ingestibles,Boston,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Newton,624,MR281495,12-10-2021 12:33,d37bfd36,,12-03-2021,697 Washington St,,Newton,MA,2458,United States of America,697 Washington St,,Newton,MA,2458,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00495,Cann Social Tonics,Social Tonics Core 6-Packs,9,2.25,6-Pack - Cranberry Sage - 8oz.,$0.00 ,FALSE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,624,$48.00 ,Complete,$108.00 ,,2:1 CBD,Edibles & Ingestibles,Boston,$48.00 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Newton,624,MR281495,12-10-2021 12:33,d37bfd36,,12-03-2021,697 Washington St,,Newton,MA,2458,United States of America,697 Washington St,,Newton,MA,2458,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00406S,Cann Social Tonics,SAM - Internal Products,10,2.5,SAM - Blood Orange Cardamom - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,624,$0.08 ,Complete,$0.10 ,,2:1 CBD,Edibles & Ingestibles,Boston,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Newton,624,MR281495,12-10-2021 12:33,d37bfd36,,12-03-2021,697 Washington St,,Newton,MA,2458,United States of America,697 Washington St,,Newton,MA,2458,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00407S,Cann Social Tonics,SAM - Internal Products,10,2.5,SAM - Grapefruit Rosemary - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,624,$0.08 ,Complete,$0.10 ,,2:1 CBD,Edibles & Ingestibles,Boston,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
Garden Remedies Newton,624,MR281495,12-10-2021 12:33,d37bfd36,,12-03-2021,697 Washington St,,Newton,MA,2458,United States of America,697 Washington St,,Newton,MA,2458,United States of America,,,megan@cannandbotl.com,Megan Little,Joe Assencoa,,,,CNMAA00405S,Cann Social Tonics,SAM - Internal Products,10,2.5,SAM - Lemon Lavender - 8oz. 6-Pack,$0.00 ,TRUE,,Net 30 (Payment due 30 days after invoice date),,,leaflink,TRUE,624,$0.08 ,Complete,$0.10 ,,2:1 CBD,Edibles & Ingestibles,Boston,$0.04 ,FALSE,,,,,Megan Little,FALSE,,Beverages,Unit,1 Unit,,Yes,12,4,2021,No
