Product,Date,Transaction Type,Num,Customer,Memo/Description,Qty,Sales Price,Amount,Balance
   CANN Ginger Lemongrass Seasonal 4pk,07/15/2021,Invoice,1279,CANN - The Dispensary Gibson,"PR# FG3CN4040804210310
Metrc# 2214",40,7.00  ,280.00  ,"1,617.00  "
   CANN Ginger Lemongrass Seasonal HI Boy 12oz SINGLE,07/15/2021,Invoice,1279,CANN - The Dispensary Gibson,"PR# FG3CN4040501210318A
Metrc# 2213",59,3.00  ,177.00  ,"4,776.00  "
   CANN Grapefruit Rosemary 6pk,07/15/2021,Invoice,1279,CANN - The Dispensary Gibson,"PR# FG3CN4021206210513
Metrc# 2208",33,9.00  ,297.00  ,"4,914.00  "
   CANN Grapefruit Rosemary 6pk PROMO,07/15/2021,Invoice,1279,CANN - The Dispensary Gibson,"PR# FG3CN4021206210513
Metrc# 2211",25,6.30  ,157.50  ,315.30  
   CANN Lemon Lavender 6pk,07/15/2021,Invoice,1279,CANN - The Dispensary Gibson,"PR# FG3CN4011206210429
Metrc# 2209",54,9.00  ,486.00  ,"8,838.00  "
   CANN Lemon Lavender 6pk PROMO,07/15/2021,Invoice,1279,CANN - The Dispensary Gibson,"PR# FG3CN4011206210429
Metrc# 2212",25,6.30  ,157.50  ,315.40  
   CANN Pineapple Jalapeno 6pk,07/15/2021,Invoice,1279,CANN - The Dispensary Gibson,"PR# FG3BCN4051206210609
Metrc# 2215",11,9.00  ,99.00  ,117.00  
   CANN Pineapple Jalapeno Seasonal 4pk,07/15/2021,Invoice,1279,CANN - The Dispensary Gibson,"PR# FG3CBN4052004210610
Metrc# 2216",14,10.00  ,140.00  ,210.00  
,07/15/2021,Invoice,1279,CANN - The Dispensary Gibson,,224,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,07/16/2021,Invoice,1288,CANN - The Apothecarium,"PR# FG3CN4031206210514
Metrc# 2254",30,9.00  ,270.00  ,"8,847.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/16/2021,Invoice,1288,CANN - The Apothecarium,"PR# FG3CN4040804210310
Metrc# 2257",10,7.00  ,70.00  ,"1,687.00  "
   CANN Grapefruit Rosemary 6pk,07/16/2021,Invoice,1288,CANN - The Apothecarium,"PR# FG3CN4021206210513
Metrc# 2255",10,9.00  ,90.00  ,"5,004.00  "
   CANN Lemon Lavender 6pk,07/16/2021,Invoice,1288,CANN - The Apothecarium,"PR# FG3CN4011206210429
Metrc# 2256",30,9.00  ,270.00  ,"9,108.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,07/16/2021,Invoice,1288,CANN - The Apothecarium,"PR# FG3CBN4052004210610
Metrc# 2258",10,10.00  ,100.00  ,310.00  
   CANN Blood Orange Cardamom 6pk,07/19/2021,Invoice,1281,CANN - Mynt Downtown,"PR# FG3CN4031206210514
Metrc# 2233",17,9.00  ,153.00  ,"9,000.00  "
   CANN Blood Orange Cardamom 6pk,07/19/2021,Invoice,1283,CANN - The Dispensary Reno,"PR# FG3CN4031206210514
Metrc# 2248",29,9.00  ,261.00  ,"9,261.00  "
   CANN Blood Orange Cardamom 6pk,07/19/2021,Invoice,1282,CANN - Mynt Lemmon Valley,"PR# FG3CN4031206210514
Metrc# 2243",4,9.00  ,36.00  ,"9,297.00  "
   CANN Blood Orange Cardamom 6pk PROMO,07/19/2021,Invoice,1287,CANN - Nuwu,"PR# FG3CN4031206210514
Metrc# 2259",36,0.01  ,0.36  ,315.76  
   CANN Blood Orange Cardamom 6pk PROMO,07/19/2021,Invoice,1281,CANN - Mynt Downtown,"PR# FG3CN4031206210514
Metrc# 2236",25,6.30  ,157.50  ,473.26  
   CANN Blood Orange Cardamom 6pk PROMO,07/19/2021,Invoice,1282,CANN - Mynt Lemmon Valley,"PR# FG3CN4031206210514
Metrc# 2245",25,6.30  ,157.50  ,630.76  
   CANN Blood Orange Cardamom 6pk PROMO,07/19/2021,Invoice,1283,CANN - The Dispensary Reno,"PR# FG3CN4031206210514
Metrc# 2227",25,6.30  ,157.50  ,788.26  
   CANN Ginger Lemongrass Seasonal 4pk,07/19/2021,Invoice,1282,CANN - Mynt Lemmon Valley,"PR# FG3CN4040804210310
Metrc# 2249",15,7.00  ,105.00  ,"1,792.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/19/2021,Invoice,1283,CANN - The Dispensary Reno,"PR# FG3CN4040804210310
Metrc# 2231",34,7.00  ,238.00  ,"2,030.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/19/2021,Invoice,1281,CANN - Mynt Downtown,"PR# FG3CN4040804210310
Metrc# 2240",12,7.00  ,84.00  ,"2,114.00  "
   CANN Ginger Lemongrass Seasonal HI Boy 12oz SINGLE,07/19/2021,Invoice,1281,CANN - Mynt Downtown,"PR# FG3CN4040501210319
Metrc# 2239",20,3.00  ,60.00  ,"4,836.00  "
   CANN Ginger Lemongrass Seasonal HI Boy 12oz SINGLE,07/19/2021,Invoice,1283,CANN - The Dispensary Reno,"PR# FG3CN4040501210318A
Metrc# 2230",13,3.00  ,39.00  ,"4,875.00  "
   CANN Grapefruit Rosemary 6pk,07/19/2021,Invoice,1283,CANN - The Dispensary Reno,"PR# FG3CN4021206210513
Metrc# 2225",33,9.00  ,297.00  ,"5,301.00  "
   CANN Grapefruit Rosemary 6pk,07/19/2021,Invoice,1281,CANN - Mynt Downtown,"PR# FG3CN4021206210513
Metrc# 2234",13,9.00  ,117.00  ,"5,418.00  "
   CANN Grapefruit Rosemary 6pk PROMO,07/19/2021,Invoice,1287,CANN - Nuwu,"PR# FG3CN4021206210513
Metrc# 2260",27,0.01  ,0.27  ,315.57  
   CANN Grapefruit Rosemary 6pk PROMO,07/19/2021,Invoice,1282,CANN - Mynt Lemmon Valley,"PR# FG3CN4021206210513
Metrc# 2246",25,6.30  ,157.50  ,473.07  
   CANN Grapefruit Rosemary 6pk PROMO,07/19/2021,Invoice,1283,CANN - The Dispensary Reno,"PR# FG3CN4021206210513
Metrc# 2228",25,6.30  ,157.50  ,630.57  
   CANN Grapefruit Rosemary 6pk PROMO,07/19/2021,Invoice,1281,CANN - Mynt Downtown,"PR# FG3CN4021206210513
Metrc# 2237",25,6.30  ,157.50  ,788.07  
   CANN Lemon Lavender 6pk,07/19/2021,Invoice,1283,CANN - The Dispensary Reno,"PR# FG3CN4011206210429
Metrc# 2226",26,9.00  ,234.00  ,"9,342.00  "
   CANN Lemon Lavender 6pk,07/19/2021,Invoice,1282,CANN - Mynt Lemmon Valley,"PR# FG3CN4011206210429
Metrc# 2244",16,9.00  ,144.00  ,"9,486.00  "
   CANN Lemon Lavender 6pk,07/19/2021,Invoice,1281,CANN - Mynt Downtown,"PR# FG3CN4011206210429
Metrc# 2235",14,9.00  ,126.00  ,"9,612.00  "
   CANN Lemon Lavender 6pk PROMO,07/19/2021,Invoice,1281,CANN - Mynt Downtown,"PR# FG3CN4011206210429
Metrc# 2238",25,6.30  ,157.50  ,472.90  
   CANN Lemon Lavender 6pk PROMO,07/19/2021,Invoice,1287,CANN - Nuwu,"PR# FG3CN4011206210429
Metrc# 2261",12,0.01  ,0.12  ,473.02  
   CANN Lemon Lavender 6pk PROMO,07/19/2021,Invoice,1282,CANN - Mynt Lemmon Valley,"PR# FG3CN4011206210429
Metrc# 2247",25,6.30  ,157.50  ,630.52  
   CANN Lemon Lavender 6pk PROMO,07/19/2021,Invoice,1283,CANN - The Dispensary Reno,"PR# FG3CN4011206210429
Metrc# 2229",25,6.30  ,157.50  ,788.02  
   CANN Pineapple Jalapeno 6pk,07/19/2021,Invoice,1282,CANN - Mynt Lemmon Valley,"PR# FG3BCN4051206210609
Metrc# 2250",7,9.00  ,63.00  ,180.00  
   CANN Pineapple Jalapeno 6pk,07/19/2021,Invoice,1283,CANN - The Dispensary Reno,"PR# FG3BCN4051206210609
Metrc# 2232",6,9.00  ,54.00  ,234.00  
   CANN Pineapple Jalapeno 6pk,07/19/2021,Invoice,1281,CANN - Mynt Downtown,"PR# FG3BCN4051206210609
Metrc# 2241",9,9.00  ,81.00  ,315.00  
   CANN Pineapple Jalapeno Seasonal 4pk,07/19/2021,Invoice,1281,CANN - Mynt Downtown,"PR# FG3CBN4052004210610
Metrc# 2242",3,10.00  ,30.00  ,340.00  
   CANN Pineapple Jalapeno Seasonal 4pk,07/19/2021,Invoice,1282,CANN - Mynt Lemmon Valley,"PR# FG3CBN4052004210610
Metrc# 2251",3,10.00  ,30.00  ,370.00  
,07/19/2021,Invoice,1283,CANN - The Dispensary Reno,,169,0.00  ,0.00  ,0.00  
,07/19/2021,Invoice,1281,CANN - Mynt Downtown,,131,0.00  ,0.00  ,0.00  
,07/19/2021,Invoice,1287,CANN - Nuwu,,75,0.00  ,0.00  ,0.00  
,07/19/2021,Invoice,1282,CANN - Mynt Lemmon Valley,,105,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,07/22/2021,Invoice,1292,CANN - The Apothecary Shoppe,"PR# FG3CN4031206210514
Metrc# 1995",40,9.00  ,360.00  ,"9,657.00  "
   CANN Blood Orange Cardamom 6pk,07/22/2021,Invoice,1291,CANN - Inyo,"PR# FG3CN4031206210514
Metrc# 2003",8,9.00  ,72.00  ,"9,729.00  "
   CANN Blood Orange Cardamom 6pk,07/22/2021,Invoice,1290,CANN -  Wallflower,"PR# FG3CN4031206210514
Metrc# 2007",20,9.00  ,180.00  ,"9,909.00  "
   CANN Blood Orange Cardamom 6pk PROMO,07/22/2021,Invoice,1290,CANN -  Wallflower,"PR# FG3CN4031206210514
Metrc# 2010",10,0.01  ,0.10  ,788.36  
   CANN Blood Orange Cardamom 6pk PROMO,07/22/2021,Invoice,1292,CANN - The Apothecary Shoppe,"PR# FG3CN4031206210514
Metrc# 1998",8,0.01  ,0.08  ,788.44  
   CANN Ginger Lemongrass Seasonal 4pk,07/22/2021,Invoice,1291,CANN - Inyo,"PR# FG3CN4040804210310
Metrc# 2006",4,7.00  ,28.00  ,"2,142.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/22/2021,Invoice,1290,CANN -  Wallflower,"PR# FG3CN4040804210310
Metrc# 2013",6,7.00  ,42.00  ,"2,184.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/22/2021,Invoice,1292,CANN - The Apothecary Shoppe,"PR# FG3CN4040804210310
Metrc# 2001",30,7.00  ,210.00  ,"2,394.00  "
   CANN Grapefruit Rosemary 6pk,07/22/2021,Invoice,1292,CANN - The Apothecary Shoppe,"PR# FG3CN4021206210513
Metrc# 1996",40,9.00  ,360.00  ,"5,778.00  "
   CANN Grapefruit Rosemary 6pk,07/22/2021,Invoice,1290,CANN -  Wallflower,"PR# FG3CN4021206210513
Metrc# 2008",16,9.00  ,144.00  ,"5,922.00  "
   CANN Grapefruit Rosemary 6pk,07/22/2021,Invoice,1291,CANN - Inyo,"PR# FG3CN4021206210513
Metrc# 2004",8,9.00  ,72.00  ,"5,994.00  "
   CANN Grapefruit Rosemary 6pk PROMO,07/22/2021,Invoice,1290,CANN -  Wallflower,"PR# FG3CN4021206210513
Metrc# 2011",4,0.01  ,0.04  ,788.11  
   CANN Grapefruit Rosemary 6pk PROMO,07/22/2021,Invoice,1292,CANN - The Apothecary Shoppe,"PR# FG3CN4021206210513
Metrc# 1999",4,0.01  ,0.04  ,788.15  
   CANN Lemon Lavender 6pk,07/22/2021,Invoice,1292,CANN - The Apothecary Shoppe,"PR# FG3CN4011206210429
Metrc# 1997",40,9.00  ,360.00  ,"9,972.00  "
   CANN Lemon Lavender 6pk,07/22/2021,Invoice,1290,CANN -  Wallflower,"PR# FG3CN4011206210429
Metrc# 2009",20,9.00  ,180.00  ,"10,152.00  "
   CANN Lemon Lavender 6pk,07/22/2021,Invoice,1291,CANN - Inyo,"PR# FG3CN4011206210429
Metrc# 2005",8,9.00  ,72.00  ,"10,224.00  "
   CANN Lemon Lavender 6pk PROMO,07/22/2021,Invoice,1292,CANN - The Apothecary Shoppe,"PR# FG3CN4011206210429
Metrc# 2000",4,0.01  ,0.04  ,788.06  
   CANN Lemon Lavender 6pk PROMO,07/22/2021,Invoice,1290,CANN -  Wallflower,"PR# FG3CN4011206210429
Metrc# 2012",4,0.01  ,0.04  ,788.10  
   CANN Pineapple Jalapeno 6pk,07/22/2021,Invoice,1290,CANN -  Wallflower,"PR# FG3BCN4051206210609
Metrc# 2014",20,9.00  ,180.00  ,495.00  
   CANN Pineapple Jalapeno 6pk,07/22/2021,Invoice,1292,CANN - The Apothecary Shoppe,"PR# FG3BCN4051206210609
Metrc# 2002",36,9.00  ,324.00  ,819.00  
   CANN Pineapple Jalapeno Seasonal 4pk,07/22/2021,Invoice,1290,CANN -  Wallflower,"PR# FG3CBN4052004210610
Metrc# 2015",12,10.00  ,120.00  ,490.00  
,07/22/2021,Invoice,1290,CANN -  Wallflower,,106,0.00  ,0.00  ,0.00  
,07/22/2021,Invoice,1291,CANN - Inyo,,24,0.00  ,0.00  ,0.00  
,07/22/2021,Invoice,1292,CANN - The Apothecary Shoppe,,172,0.00  ,0.00  ,0.00  
   CANN Blood Orange Cardamom 6pk,07/27/2021,Invoice,1305,CANN - Mynt Downtown,"PR# FG3CN4031206210514
Metrc# 2026",16,9.00  ,144.00  ,"10,053.00  "
   CANN Blood Orange Cardamom 6pk,07/27/2021,Invoice,1302,CANN - The Apothecarium,"PR# FG3CN4031206210514
Metrc# 2032",30,9.00  ,270.00  ,"10,323.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/27/2021,Invoice,1305,CANN - Mynt Downtown,"PR# FG3CN4040804210310
Metrc# 2029",20,7.00  ,140.00  ,"2,534.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/27/2021,Invoice,1306,CANN - Mynt Lemmon Valley,"PR# FG3CN4040804210310
Metrc# 2023",12,7.00  ,84.00  ,"2,618.00  "
   CANN Grapefruit Rosemary 6pk,07/27/2021,Invoice,1302,CANN - The Apothecarium,"PR# FG3CN4021206210513
Metrc# 2033",20,9.00  ,180.00  ,"6,174.00  "
   CANN Grapefruit Rosemary 6pk,07/27/2021,Invoice,1305,CANN - Mynt Downtown,"PR# FG3CN4021206210513
Metrc# 2027",3,9.00  ,27.00  ,"6,201.00  "
   CANN Lemon Lavender 6pk,07/27/2021,Invoice,1302,CANN - The Apothecarium,"PR# FG3CN4011206210429
Metrc# 2034",30,9.00  ,270.00  ,"10,494.00  "
   CANN Lemon Lavender 6pk,07/27/2021,Invoice,1306,CANN - Mynt Lemmon Valley,"PR# FG3CN4011206210429
Metrc# 2022",5,9.00  ,45.00  ,"10,539.00  "
   CANN Lemon Lavender 6pk,07/27/2021,Invoice,1305,CANN - Mynt Downtown,"PR# FG3CN4011206210429
Metrc# 2028",20,9.00  ,180.00  ,"10,719.00  "
   CANN Pineapple Jalapeno 6pk,07/27/2021,Invoice,1302,CANN - The Apothecarium,"PR# FG3BCN4051206210609
Metrc# 2035",10,9.00  ,90.00  ,909.00  
   CANN Pineapple Jalapeno 6pk,07/27/2021,Invoice,1306,CANN - Mynt Lemmon Valley,"PR# FG3BCN4051206210609
Metrc# 2024",7,9.00  ,63.00  ,972.00  
   CANN Pineapple Jalapeno 6pk,07/27/2021,Invoice,1305,CANN - Mynt Downtown,"PR# FG3BCN4051206210609
Metrc# 2030",17,9.00  ,153.00  ,"1,125.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,07/27/2021,Invoice,1305,CANN - Mynt Downtown,"PR# FG3CBN4052004210610
Metrc# 2031",12,10.00  ,120.00  ,610.00  
   CANN Pineapple Jalapeno Seasonal 4pk,07/27/2021,Invoice,1306,CANN - Mynt Lemmon Valley,"PR# FG3CBN4052004210610
Metrc# 2025",3,10.00  ,30.00  ,640.00  
   CANN Blood Orange Cardamom 6pk,07/28/2021,Invoice,1304,CANN - The Dispensary Gibson,"PR# FG3CN4031206210514
Metrc# 2037",30,9.00  ,270.00  ,"10,593.00  "
   CANN Blood Orange Cardamom 6pk,07/28/2021,Invoice,1303,CANN - The Dispensary Reno,"PR# FG3CN4031206210514
Metrc# 2017",21,9.00  ,189.00  ,"10,782.00  "
   CANN Ginger Lemongrass Seasonal 4pk,07/28/2021,Invoice,1303,CANN - The Dispensary Reno,"PR# FG3CN4040804210310
Metrc# 2019",16,7.00  ,112.00  ,"2,730.00  "
   CANN Ginger Lemongrass Seasonal HI Boy 12oz SINGLE,07/28/2021,Invoice,1304,CANN - The Dispensary Gibson,"PR# FG3CN4040501210318A
Metrc# 2040",28,3.00  ,84.00  ,"4,959.00  "
   CANN Grapefruit Rosemary 6pk,07/28/2021,Invoice,1304,CANN - The Dispensary Gibson,"PR# FG3CN4021206210513
Metrc# 2038",18,9.00  ,162.00  ,"6,363.00  "
   CANN Lemon Lavender 6pk,07/28/2021,Invoice,1304,CANN - The Dispensary Gibson,"PR# FG3CN4011206210429
Metrc# 2039",23,9.00  ,207.00  ,"10,926.00  "
   CANN Lemon Lavender 6pk,07/28/2021,Invoice,1303,CANN - The Dispensary Reno,"PR# FG3CN4011206210429
Metrc# 2018",22,9.00  ,198.00  ,"11,124.00  "
   CANN Pineapple Jalapeno 6pk,07/28/2021,Invoice,1304,CANN - The Dispensary Gibson,"PR# FG3BCN4051206210609
Metrc# 2041",54,9.00  ,486.00  ,"1,611.00  "
   CANN Pineapple Jalapeno 6pk,07/28/2021,Invoice,1303,CANN - The Dispensary Reno,"PR# FG3BCN4051206210609
Metrc# 2020",16,9.00  ,144.00  ,"1,755.00  "
   CANN Pineapple Jalapeno Seasonal 4pk,07/28/2021,Invoice,1304,CANN - The Dispensary Gibson,"PR# FG3CBN4052004210610
Metrc# 2042",13,10.00  ,130.00  ,770.00  
   CANN Pineapple Jalapeno Seasonal 4pk,07/28/2021,Invoice,1303,CANN - The Dispensary Reno,"PR# FG3CBN4052004210610
Metrc# 2021",9,10.00  ,90.00  ,860.00  
   CANN Blood Orange Cardamom 6pk,08/03/2021,Invoice,1318,CANN - Inyo,"PR# 514
Metrc# 2071",36,9.00  ,324.00  ,"11,106.00  "
   CANN Ginger Lemongrass Seasonal 4pk,08/03/2021,Invoice,1318,CANN - Inyo,"PR# 310
Metrc# 2074",18,7.00  ,126.00  ,"2,856.00  "
   CANN Grapefruit Rosemary 6pk,08/03/2021,Invoice,1318,CANN - Inyo,"PR# 513
Metrc# 2072",28,9.00  ,252.00  ,"6,615.00  "
   CANN Lemon Lavender 6pk,08/03/2021,Invoice,1318,CANN - Inyo,"PR# 429
Metrc# 2073",36,9.00  ,324.00  ,"11,448.00  "
   CANN Pineapple Jalapeno 6pk BT PROMO,08/03/2021,Invoice,1318,CANN - Inyo,"PR# 609
Metrc# 2075",4,0.01  ,0.04  ,0.04  
   CANN Pineapple Jalapeno Seasonal 4pk BT PROMO,08/03/2021,Invoice,1318,CANN - Inyo,"PR# 610
Metrc# 2076",6,0.01  ,0.06  ,0.06  
   CANN Blood Orange Cardamom 6pk,08/04/2021,Invoice,1321,CANN - Essence Henderson,"PR# 514
Metrc# 2048",40,9.00  ,360.00  ,"11,466.00  "
